period,stateid,value,units
2021,IL,10.51,$/MCF
2021,WI,9.74,$/MCF
2021,NC,14.12,$/MCF
2021,MS,12.65,$/MCF
2021,NE,9.59,$/MCF
2021,AR,12.56,$/MCF
2021,PA,12.01,$/MCF
2021,KY,12.22,$/MCF
2021,WA,11.63,$/MCF
2021,NY,13.78,$/MCF
2021,MA,16.02,$/MCF
2021,VA,13.68,$/MCF
2021,ID,7.0,$/MCF
2021,SC,14.29,$/MCF
2021,MD,14.7,$/MCF
2021,OK,10.29,$/MCF
2021,WY,10.04,$/MCF
2021,UT,8.99,$/MCF
2021,DE,13.14,$/MCF
2021,KS,11.11,$/MCF
2021,CO,9.1,$/MCF
2021,AK,10.94,$/MCF
2021,MT,8.86,$/MCF
2021,NJ,10.26,$/MCF
2021,GA,15.91,$/MCF
2021,U.S.,12.18,$/MCF
2021,NH,16.31,$/MCF
2021,WV,10.46,$/MCF
2021,CA,16.34,$/MCF
2021,NM,9.77,$/MCF
2021,IN,10.05,$/MCF
2021,ND,9.11,$/MCF
2021,LA,12.83,$/MCF
2021,HI,46.99,$/MCF
2021,OH,11.08,$/MCF
2021,AZ,15.52,$/MCF
2021,OR,11.76,$/MCF
2021,CT,16.06,$/MCF
2021,ME,16.54,$/MCF
2021,NV,9.72,$/MCF
2021,TX,13.77,$/MCF
2021,MI,9.21,$/MCF
2021,MN,9.4,$/MCF
2021,AL,15.72,$/MCF
2021,MO,10.81,$/MCF
2021,NA,22.9,$/MCF
2021,SD,9.75,$/MCF
2021,RI,16.18,$/MCF
2021,IA,10.2,$/MCF
2021,FL,22.9,$/MCF
2021,VT,14.01,$/MCF
2021,DC,14.29,$/MCF
2021,TN,10.29,$/MCF
2020,MD,13.07,$/MCF
2020,CA,14.14,$/MCF
2020,ME,14.88,$/MCF
2020,NM,7.04,$/MCF
2020,VT,13.21,$/MCF
2020,UT,8.15,$/MCF
2020,DC,11.92,$/MCF
2020,MA,14.71,$/MCF
2020,U.S.,10.78,$/MCF
2020,KS,9.37,$/MCF
2020,IL,7.94,$/MCF
2020,PA,11.48,$/MCF
2020,WA,10.97,$/MCF
2020,NJ,9.92,$/MCF
2020,TX,11.64,$/MCF
2020,AR,12.28,$/MCF
2020,SD,7.11,$/MCF
2020,CO,7.22,$/MCF
2020,RI,15.06,$/MCF
2020,IA,7.78,$/MCF
2020,WV,10.11,$/MCF
2020,ID,6.73,$/MCF
2020,SC,13.49,$/MCF
2020,GA,15.45,$/MCF
2020,AL,16.01,$/MCF
2020,MO,10.39,$/MCF
2020,NE,8.04,$/MCF
2020,MI,8.25,$/MCF
2020,AZ,13.1,$/MCF
2020,WI,7.52,$/MCF
2020,WY,8.84,$/MCF
2020,TN,8.97,$/MCF
2020,ND,6.82,$/MCF
2020,DE,12.95,$/MCF
2020,NA,21.38,$/MCF
2020,AK,11.14,$/MCF
2020,NH,14.66,$/MCF
2020,OH,9.53,$/MCF
2020,KY,11.14,$/MCF
2020,LA,12.16,$/MCF
2020,HI,37.75,$/MCF
2020,OR,10.91,$/MCF
2020,FL,21.38,$/MCF
2020,IN,8.59,$/MCF
2020,MN,8.04,$/MCF
2020,CT,14.68,$/MCF
2020,MT,7.22,$/MCF
2020,NC,13.23,$/MCF
2020,MS,11.51,$/MCF
2020,OK,9.11,$/MCF
2020,NY,12.8,$/MCF
2020,NV,10.36,$/MCF
2020,VA,12.72,$/MCF
2019,NH,15.75,$/MCF
2019,SC,13.07,$/MCF
2019,WI,7.68,$/MCF
2019,MT,7.09,$/MCF
2019,MN,8.06,$/MCF
2019,VA,12.62,$/MCF
2019,SD,7.29,$/MCF
2019,RI,15.36,$/MCF
2019,OR,9.97,$/MCF
2019,WA,9.82,$/MCF
2019,ID,6.5,$/MCF
2019,MD,12.55,$/MCF
2019,UT,7.82,$/MCF
2019,U.S.,10.51,$/MCF
2019,DE,12.1,$/MCF
2019,IA,8.19,$/MCF
2019,FL,21.66,$/MCF
2019,NV,9.5,$/MCF
2019,ND,7.0,$/MCF
2019,AL,15.63,$/MCF
2019,NE,7.9,$/MCF
2019,IL,8.04,$/MCF
2019,MS,10.58,$/MCF
2019,OK,9.4,$/MCF
2019,IN,8.68,$/MCF
2019,GA,14.88,$/MCF
2019,HI,44.14,$/MCF
2019,CA,12.95,$/MCF
2019,MA,14.72,$/MCF
2019,AR,11.05,$/MCF
2019,MI,8.08,$/MCF
2019,LA,11.49,$/MCF
2019,PA,11.7,$/MCF
2019,OH,9.58,$/MCF
2019,CT,14.61,$/MCF
2019,NC,12.88,$/MCF
2019,ME,16.05,$/MCF
2019,CO,7.77,$/MCF
2019,AK,11.11,$/MCF
2019,KY,10.85,$/MCF
2019,WV,9.9,$/MCF
2019,VT,13.14,$/MCF
2019,WY,8.06,$/MCF
2019,NJ,9.73,$/MCF
2019,TN,9.46,$/MCF
2019,KS,9.24,$/MCF
2019,NA,21.66,$/MCF
2019,AZ,13.46,$/MCF
2019,NM,6.4,$/MCF
2019,NY,12.61,$/MCF
2019,DC,12.81,$/MCF
2019,TX,10.61,$/MCF
2019,MO,10.41,$/MCF
2018,RI,15.65,$/MCF
2018,CA,12.3,$/MCF
2018,WY,8.6,$/MCF
2018,NH,15.35,$/MCF
2018,WA,10.28,$/MCF
2018,NJ,9.09,$/MCF
2018,TX,11.42,$/MCF
2018,KS,10.18,$/MCF
2018,WV,9.84,$/MCF
2018,FL,21.34,$/MCF
2018,VT,13.65,$/MCF
2018,NY,12.37,$/MCF
2018,MA,15.47,$/MCF
2018,TN,9.46,$/MCF
2018,ND,7.2,$/MCF
2018,U.S.,10.5,$/MCF
2018,MN,8.69,$/MCF
2018,MO,10.37,$/MCF
2018,CO,7.74,$/MCF
2018,AK,10.99,$/MCF
2018,OR,10.65,$/MCF
2018,MD,11.79,$/MCF
2018,NC,12.11,$/MCF
2018,NV,9.24,$/MCF
2018,VA,11.71,$/MCF
2018,AR,11.77,$/MCF
2018,NA,21.34,$/MCF
2018,IL,8.15,$/MCF
2018,OH,9.1,$/MCF
2018,IA,8.94,$/MCF
2018,MT,7.32,$/MCF
2018,DC,11.78,$/MCF
2018,GA,13.98,$/MCF
2018,DE,12.6,$/MCF
2018,NE,8.54,$/MCF
2018,LA,11.65,$/MCF
2018,PA,11.25,$/MCF
2018,ID,7.11,$/MCF
2018,SC,13.46,$/MCF
2018,MS,10.44,$/MCF
2018,IN,8.72,$/MCF
2018,UT,9.04,$/MCF
2018,SD,7.66,$/MCF
2018,MI,8.19,$/MCF
2018,KY,10.56,$/MCF
2018,CT,13.92,$/MCF
2018,ME,16.32,$/MCF
2018,NM,7.89,$/MCF
2018,HI,43.48,$/MCF
2018,AZ,15.35,$/MCF
2018,WI,8.04,$/MCF
2018,OK,9.25,$/MCF
2018,AL,15.22,$/MCF
2017,WA,10.62,$/MCF
2017,ND,7.64,$/MCF
2017,KS,10.95,$/MCF
2017,AR,12.97,$/MCF
2017,WV,9.43,$/MCF
2017,OR,10.59,$/MCF
2017,WI,8.4,$/MCF
2017,MT,7.62,$/MCF
2017,VT,14.12,$/MCF
2017,NM,9.22,$/MCF
2017,SD,8.18,$/MCF
2017,MI,8.38,$/MCF
2017,RI,14.02,$/MCF
2017,PA,11.4,$/MCF
2017,CT,13.95,$/MCF
2017,MD,12.97,$/MCF
2017,CA,12.49,$/MCF
2017,ME,14.61,$/MCF
2017,UT,9.05,$/MCF
2017,DC,12.53,$/MCF
2017,MA,13.32,$/MCF
2017,GA,16.93,$/MCF
2017,NA,21.15,$/MCF
2017,NH,14.55,$/MCF
2017,IL,8.83,$/MCF
2017,AZ,15.78,$/MCF
2017,IA,9.3,$/MCF
2017,NY,12.04,$/MCF
2017,U.S.,10.91,$/MCF
2017,LA,13.04,$/MCF
2017,HI,38.88,$/MCF
2017,OH,9.72,$/MCF
2017,KY,11.62,$/MCF
2017,ID,7.65,$/MCF
2017,FL,21.15,$/MCF
2017,TN,10.31,$/MCF
2017,MN,8.47,$/MCF
2017,DE,12.84,$/MCF
2017,AK,10.52,$/MCF
2017,SC,14.47,$/MCF
2017,NV,8.82,$/MCF
2017,IN,8.94,$/MCF
2017,WY,9.01,$/MCF
2017,NJ,9.14,$/MCF
2017,VA,12.34,$/MCF
2017,MO,11.78,$/MCF
2017,NE,9.01,$/MCF
2017,NC,13.29,$/MCF
2017,MS,11.83,$/MCF
2017,OK,11.4,$/MCF
2017,TX,13.61,$/MCF
2017,CO,8.08,$/MCF
2017,AL,16.12,$/MCF
2016,CO,7.35,$/MCF
2016,LA,11.35,$/MCF
2016,MD,11.53,$/MCF
2016,NC,11.31,$/MCF
2016,CA,11.84,$/MCF
2016,GA,14.56,$/MCF
2016,MN,8.01,$/MCF
2016,NA,20.27,$/MCF
2016,IL,7.88,$/MCF
2016,OH,9.03,$/MCF
2016,ID,8.14,$/MCF
2016,CT,12.91,$/MCF
2016,NV,10.23,$/MCF
2016,MA,12.46,$/MCF
2016,DE,11.88,$/MCF
2016,VA,10.88,$/MCF
2016,NE,8.01,$/MCF
2016,SD,7.6,$/MCF
2016,NH,14.25,$/MCF
2016,HI,36.48,$/MCF
2016,KY,10.14,$/MCF
2016,FL,20.27,$/MCF
2016,NY,10.84,$/MCF
2016,NJ,8.3,$/MCF
2016,MO,10.94,$/MCF
2016,AR,11.17,$/MCF
2016,RI,13.8,$/MCF
2016,WV,9.26,$/MCF
2016,WI,8.07,$/MCF
2016,NM,8.05,$/MCF
2016,MI,8.21,$/MCF
2016,AZ,15.28,$/MCF
2016,IA,8.13,$/MCF
2016,WA,10.78,$/MCF
2016,VT,14.15,$/MCF
2016,OK,10.57,$/MCF
2016,IN,7.92,$/MCF
2016,DC,10.9,$/MCF
2016,AL,14.06,$/MCF
2016,PA,10.18,$/MCF
2016,SC,12.62,$/MCF
2016,ME,13.82,$/MCF
2016,MS,10.06,$/MCF
2016,WY,8.51,$/MCF
2016,UT,9.12,$/MCF
2016,U.S.,10.05,$/MCF
2016,AK,9.81,$/MCF
2016,OR,11.67,$/MCF
2016,MT,7.27,$/MCF
2016,TX,11.73,$/MCF
2016,TN,9.21,$/MCF
2016,ND,7.21,$/MCF
2016,KS,9.85,$/MCF
2015,SD,8.3,$/MCF
2015,MD,12.03,$/MCF
2015,MT,8.21,$/MCF
2015,ME,16.79,$/MCF
2015,MS,9.7,$/MCF
2015,IN,8.92,$/MCF
2015,ND,8.15,$/MCF
2015,MN,8.79,$/MCF
2015,NE,8.86,$/MCF
2015,CO,8.27,$/MCF
2015,RI,14.24,$/MCF
2015,HI,40.08,$/MCF
2015,OH,9.51,$/MCF
2015,WV,10.48,$/MCF
2015,WA,11.81,$/MCF
2015,NC,11.57,$/MCF
2015,NM,8.63,$/MCF
2015,TN,9.62,$/MCF
2015,GA,14.62,$/MCF
2015,IA,8.51,$/MCF
2015,WI,8.54,$/MCF
2015,DC,11.98,$/MCF
2015,MA,13.02,$/MCF
2015,U.S.,10.38,$/MCF
2015,VA,11.64,$/MCF
2015,PA,11.04,$/MCF
2015,SC,12.62,$/MCF
2015,AL,14.13,$/MCF
2015,MO,11.6,$/MCF
2015,AR,11.58,$/MCF
2015,KY,10.87,$/MCF
2015,CT,12.5,$/MCF
2015,CA,11.39,$/MCF
2015,UT,9.72,$/MCF
2015,TX,10.64,$/MCF
2015,KS,10.17,$/MCF
2015,MI,8.81,$/MCF
2015,NH,16.18,$/MCF
2015,LA,10.77,$/MCF
2015,OR,12.49,$/MCF
2015,NA,19.34,$/MCF
2015,AZ,17.04,$/MCF
2015,ID,8.59,$/MCF
2015,FL,19.34,$/MCF
2015,OK,10.24,$/MCF
2015,NY,11.2,$/MCF
2015,NV,11.82,$/MCF
2015,WY,9.33,$/MCF
2015,NJ,8.32,$/MCF
2015,AK,9.64,$/MCF
2015,IL,7.97,$/MCF
2015,VT,14.56,$/MCF
2015,DE,12.62,$/MCF
2014,SD,9.27,$/MCF
2014,RI,15.14,$/MCF
2014,WI,10.52,$/MCF
2014,MS,9.51,$/MCF
2014,OK,10.1,$/MCF
2014,TN,10.13,$/MCF
2014,KS,10.59,$/MCF
2014,HI,47.51,$/MCF
2014,WA,10.59,$/MCF
2014,CA,11.51,$/MCF
2014,IL,9.59,$/MCF
2014,MA,14.5,$/MCF
2014,U.S.,10.97,$/MCF
2014,MO,10.83,$/MCF
2014,MI,9.33,$/MCF
2014,AK,9.11,$/MCF
2014,OH,10.16,$/MCF
2014,NC,11.88,$/MCF
2014,WV,10.21,$/MCF
2014,OR,11.72,$/MCF
2014,VT,14.68,$/MCF
2014,IN,9.02,$/MCF
2014,NH,16.27,$/MCF
2014,LA,10.89,$/MCF
2014,KY,10.62,$/MCF
2014,ID,8.54,$/MCF
2014,SC,12.65,$/MCF
2014,CT,14.13,$/MCF
2014,MT,9.11,$/MCF
2014,FL,19.02,$/MCF
2014,ME,16.9,$/MCF
2014,NM,10.13,$/MCF
2014,NY,12.54,$/MCF
2014,WY,9.34,$/MCF
2014,NJ,9.69,$/MCF
2014,GA,14.45,$/MCF
2014,MN,9.89,$/MCF
2014,NE,8.77,$/MCF
2014,PA,11.77,$/MCF
2014,AZ,17.2,$/MCF
2014,MD,12.21,$/MCF
2014,TX,11.16,$/MCF
2014,ND,8.86,$/MCF
2014,DE,13.21,$/MCF
2014,NA,19.02,$/MCF
2014,CO,8.89,$/MCF
2014,IA,10.02,$/MCF
2014,NV,11.44,$/MCF
2014,UT,9.48,$/MCF
2014,DC,13.05,$/MCF
2014,AL,14.62,$/MCF
2014,VA,12.07,$/MCF
2014,AR,10.39,$/MCF
2013,IA,8.99,$/MCF
2013,OR,10.84,$/MCF
2013,MD,11.67,$/MCF
2013,MT,8.19,$/MCF
2013,TX,10.5,$/MCF
2013,KS,10.19,$/MCF
2013,KY,9.8,$/MCF
2013,IN,8.43,$/MCF
2013,NJ,10.89,$/MCF
2013,AL,15.47,$/MCF
2013,MI,9.09,$/MCF
2013,AK,8.85,$/MCF
2013,WV,9.98,$/MCF
2013,WA,11.37,$/MCF
2013,ID,8.12,$/MCF
2013,MS,9.0,$/MCF
2013,OK,9.71,$/MCF
2013,UT,8.55,$/MCF
2013,GA,14.6,$/MCF
2013,RI,14.55,$/MCF
2013,IL,8.2,$/MCF
2013,AZ,13.92,$/MCF
2013,ME,15.21,$/MCF
2013,VT,15.87,$/MCF
2013,NM,8.92,$/MCF
2013,ND,7.43,$/MCF
2013,MO,10.88,$/MCF
2013,AR,10.46,$/MCF
2013,NA,18.46,$/MCF
2013,NH,13.84,$/MCF
2013,OH,9.46,$/MCF
2013,WI,8.65,$/MCF
2013,NC,11.83,$/MCF
2013,FL,18.46,$/MCF
2013,NY,12.49,$/MCF
2013,NV,9.42,$/MCF
2013,DC,12.45,$/MCF
2013,TN,9.44,$/MCF
2013,U.S.,10.32,$/MCF
2013,MN,8.19,$/MCF
2013,SD,8.23,$/MCF
2013,CO,7.85,$/MCF
2013,PA,11.63,$/MCF
2013,CT,13.32,$/MCF
2013,CA,9.92,$/MCF
2013,MA,13.49,$/MCF
2013,VA,11.68,$/MCF
2013,NE,8.39,$/MCF
2013,LA,10.8,$/MCF
2013,HI,49.13,$/MCF
2013,SC,12.61,$/MCF
2013,WY,8.27,$/MCF
2013,DE,13.65,$/MCF
2012,MI,9.95,$/MCF
2012,CO,8.28,$/MCF
2012,OH,9.91,$/MCF
2012,WV,10.77,$/MCF
2012,OR,11.22,$/MCF
2012,CA,9.14,$/MCF
2012,VA,12.42,$/MCF
2012,CT,14.17,$/MCF
2012,ND,7.43,$/MCF
2012,MN,7.99,$/MCF
2012,NA,18.34,$/MCF
2012,SD,8.39,$/MCF
2012,PA,11.99,$/MCF
2012,WA,11.87,$/MCF
2012,SC,13.25,$/MCF
2012,MS,9.6,$/MCF
2012,WY,8.42,$/MCF
2012,NJ,11.09,$/MCF
2012,LA,11.54,$/MCF
2012,IA,9.46,$/MCF
2012,KY,10.19,$/MCF
2012,MD,12.17,$/MCF
2012,NY,12.97,$/MCF
2012,IN,8.94,$/MCF
2012,DC,12.1,$/MCF
2012,MA,13.22,$/MCF
2012,TN,9.95,$/MCF
2012,NE,8.68,$/MCF
2012,NH,13.74,$/MCF
2012,RI,14.29,$/MCF
2012,HI,52.86,$/MCF
2012,MT,8.05,$/MCF
2012,NC,12.19,$/MCF
2012,FL,18.34,$/MCF
2012,ME,15.94,$/MCF
2012,GA,16.23,$/MCF
2012,AR,11.82,$/MCF
2012,IL,8.26,$/MCF
2012,ID,8.26,$/MCF
2012,WI,9.27,$/MCF
2012,NV,10.14,$/MCF
2012,TX,10.55,$/MCF
2012,U.S.,10.65,$/MCF
2012,VT,16.73,$/MCF
2012,NM,8.69,$/MCF
2012,UT,8.7,$/MCF
2012,KS,10.12,$/MCF
2012,AK,8.47,$/MCF
2012,AZ,15.75,$/MCF
2012,OK,11.1,$/MCF
2012,AL,16.2,$/MCF
2012,DE,15.24,$/MCF
2012,MO,12.25,$/MCF
2011,SD,8.59,$/MCF
2011,NH,14.67,$/MCF
2011,IL,8.78,$/MCF
2011,WV,10.91,$/MCF
2011,IN,9.46,$/MCF
2011,DC,13.06,$/MCF
2011,MI,10.47,$/MCF
2011,RI,15.33,$/MCF
2011,LA,11.37,$/MCF
2011,NY,13.71,$/MCF
2011,CT,13.83,$/MCF
2011,WI,9.77,$/MCF
2011,ND,8.1,$/MCF
2011,AR,11.46,$/MCF
