,title,desc,date,datetime,link,media,site
0,What higher natural gas prices mean for CT's clean energy push,bookmark_border,Nov 26,,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmN0aW5zaWRlci5jb20vbmV3cy9hcnRpY2xlL0NULWVsZWN0cmljLWJpbGxzLW5hdHVyYWwtZ2FzLXJlbmV3YWJsZXMtMTc2MDY5NzMucGhw0gEA?hl=en-US&gl=US&ceid=US%3Aen,,
1,Soaring West Virginia Electricity Prices Trigger Standoff Over the State's Devotion to Coal Power,bookmark_border,Nov 20,,https://news.google.com/./articles/CBMijQFodHRwczovL2luc2lkZWNsaW1hdGVuZXdzLm9yZy9uZXdzLzIwMTEyMDIyL3NvYXJpbmctd2VzdC12aXJnaW5pYS1lbGVjdHJpY2l0eS1wcmljZXMtdHJpZ2dlci1zdGFuZG9mZi1vdmVyLXRoZS1zdGF0ZXMtZGV2b3Rpb24tdG8tY29hbC1wb3dlci_SAQA?hl=en-US&gl=US&ceid=US%3Aen,,
2,"Strong U.S. Production, Uneven Weather Pressuring Natural Gas Prices – Mexico Spotlight",bookmark_border,2 days ago,2022-12-02 20:35:54.220818,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3Lm5hdHVyYWxnYXNpbnRlbC5jb20vc3Ryb25nLXUtcy1wcm9kdWN0aW9uLXVuZXZlbi13ZWF0aGVyLXByZXNzdXJpbmctbmF0dXJhbC1nYXMtcHJpY2VzLW1leGljby1zcG90bGlnaHQv0gEA?hl=en-US&gl=US&ceid=US%3Aen,,
3,"NYISO Ready For Winter Demand, Though Natural Gas Losses Outpacing Renewable Adds Pose 'Risk' Later in Decade",bookmark_border,4 days ago,2022-11-30 20:35:54.220818,https://news.google.com/./articles/CBMiiwFodHRwczovL3d3dy5uYXR1cmFsZ2FzaW50ZWwuY29tL255aXNvLXJlYWR5LWZvci13aW50ZXItZGVtYW5kLXRob3VnaC1uYXR1cmFsLWdhcy1sb3NzZXMtb3V0cGFjaW5nLXJlbmV3YWJsZS1hZGRzLXBvc2Utcmlzay1sYXRlci1pbi1kZWNhZGUv0gEA?hl=en-US&gl=US&ceid=US%3Aen,,
4,U.S. Energy Information Administration,bookmark_border,Nov 9,,https://news.google.com/./articles/CBMiNWh0dHBzOi8vd3d3LmVpYS5nb3YvdG9kYXlpbmVuZXJneS9kZXRhaWwucGhwP2lkPTU0NTk50gEA?hl=en-US&gl=US&ceid=US%3Aen,,
5,Highest natural gas price since 2010 drives a spike in Pennsylvania home energy costs,bookmark_border,Nov 21,,https://news.google.com/./articles/CBMitAFodHRwczovL3d3dy50aGVjZW50ZXJzcXVhcmUuY29tL3Blbm5zeWx2YW5pYS9oaWdoZXN0LW5hdHVyYWwtZ2FzLXByaWNlLXNpbmNlLTIwMTAtZHJpdmVzLWEtc3Bpa2UtaW4tcGVubnN5bHZhbmlhLWhvbWUtZW5lcmd5LWNvc3RzL2FydGljbGVfYzk4ZjhlNjQtNjljNC0xMWVkLWE4YTItZGYwMjEyOTU0MGMxLmh0bWzSAbgBaHR0cHM6Ly93d3cudGhlY2VudGVyc3F1YXJlLmNvbS9wZW5uc3lsdmFuaWEvaGlnaGVzdC1uYXR1cmFsLWdhcy1wcmljZS1zaW5jZS0yMDEwLWRyaXZlcy1hLXNwaWtlLWluLXBlbm5zeWx2YW5pYS1ob21lLWVuZXJneS1jb3N0cy9hcnRpY2xlX2M5OGY4ZTY0LTY5YzQtMTFlZC1hOGEyLWRmMDIxMjk1NDBjMS5hbXAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,,
6,U.S. LNG Exports Took Off in 2021 as Domestic Natural Gas Prices Surged,bookmark_border,Nov 18,,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3Lm5hdHVyYWxnYXNpbnRlbC5jb20vdS1zLWxuZy1leHBvcnRzLXRvb2stb2ZmLWluLTIwMjEtYXMtZG9tZXN0aWMtbmF0dXJhbC1nYXMtcHJpY2VzLXN1cmdlZC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,,
7,"Mexico Industrials Locking In Cheap U.S. Natural Gas Prices Amid Global Volatility, BP Exec Says",bookmark_border,Nov 15,,https://news.google.com/./articles/CBMif2h0dHBzOi8vd3d3Lm5hdHVyYWxnYXNpbnRlbC5jb20vbWV4aWNvLWluZHVzdHJpYWxzLWxvY2tpbmctaW4tY2hlYXAtdS1zLW5hdHVyYWwtZ2FzLXByaWNlcy1hbWlkLWdsb2JhbC12b2xhdGlsaXR5LWJwLWV4ZWMtc2F5cy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,,
8,"U.S. Natural Gas Holds Key to Mexico LNG Projects, Power Plants",bookmark_border,3 days ago,2022-12-01 20:35:54.225805,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3Lm5hdHVyYWxnYXNpbnRlbC5jb20vdS1zLW5hdHVyYWwtZ2FzLWhvbGRzLWtleS10by1tZXhpY28tbG5nLXByb2plY3RzLXBvd2VyLXBsYW50cy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,,
9,"Canadian Natural Eyeing 5% Natural Gas Production Increase, as U.S. Exports Fetching Premium to AECO",bookmark_border,Yesterday,2022-12-03 20:35:54.229794,https://news.google.com/./articles/CBMiggFodHRwczovL3d3dy5uYXR1cmFsZ2FzaW50ZWwuY29tL2NhbmFkaWFuLW5hdHVyYWwtZXllaW5nLTUtbmF0dXJhbC1nYXMtcHJvZHVjdGlvbi1pbmNyZWFzZS1hcy11LXMtZXhwb3J0cy1mZXRjaGluZy1wcmVtaXVtLXRvLWFlY28v0gEA?hl=en-US&gl=US&ceid=US%3Aen,,
10,Antero Resources Is A T'Winner For 2023 And Beyond (NYSE:AR),bookmark_border,3 hours ago,2022-12-04 17:35:54.229794,https://news.google.com/./articles/CBMiWmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1NjIxOTUtYW50ZXJvLXJlc291cmNlcy1pcy1hLXR3aW5uZXItZm9yLTIwMjMtYW5kLWJleW9uZNIBAA?hl=en-US&gl=US&ceid=US%3Aen,,
11,Can the Recent U.S. Natural Gas Production Uptick Continue Into 2023? – Listen Now to NGI's Hub & Flow,bookmark_border,3 days ago,2022-12-01 20:35:54.232786,https://news.google.com/./articles/CBMigAFodHRwczovL3d3dy5uYXR1cmFsZ2FzaW50ZWwuY29tL2Nhbi10aGUtcmVjZW50LXUtcy1uYXR1cmFsLWdhcy1wcm9kdWN0aW9uLXVwdGljay1jb250aW51ZS1pbnRvLTIwMjMtbGlzdGVuLW5vdy10by1uZ2lzLWh1Yi1mbG93L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,,
12,Enterprise’s Oil Export Terminal Offshore Texas OK’d to Apply for Permit,bookmark_border,5 days ago,2022-11-29 20:35:54.239768,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3Lm5hdHVyYWxnYXNpbnRlbC5jb20vZW50ZXJwcmlzZXMtb2lsLWV4cG9ydC10ZXJtaW5hbC1vZmZzaG9yZS10ZXhhcy1va2QtdG8tYXBwbHktZm9yLXBlcm1pdC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,,
13,"US POWER TRACKER: Southeast electricity prices fall on month, rise on year tracking natural gas",bookmark_border,Oct 10,,https://news.google.com/./articles/CBMiugFodHRwczovL3d3dy5zcGdsb2JhbC5jb20vY29tbW9kaXR5aW5zaWdodHMvZW4vbWFya2V0LWluc2lnaHRzL2xhdGVzdC1uZXdzL25hdHVyYWwtZ2FzLzEwMTAyMi11cy1wb3dlci10cmFja2VyLXNvdXRoZWFzdC1lbGVjdHJpY2l0eS1wcmljZXMtZmFsbC1vbi1tb250aC1yaXNlLW9uLXllYXItdHJhY2tpbmctbmF0dXJhbC1nYXPSAQA?hl=en-US&gl=US&ceid=US%3Aen,,
14,U.S. natural gas consumption expected to climb,bookmark_border,Nov 1,,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmNvbXByZXNzb3J0ZWNoMi5jb20vbmV3cy91LnMuLW5hdHVyYWwtZ2FzLWNvbnN1bXB0aW9uLWV4cGVjdGVkLXRvLWNsaW1iLzgwMjQ0NDcuYXJ0aWNsZdIBAA?hl=en-US&gl=US&ceid=US%3Aen,,
15,US natural gas prices spike to 14-year high. Here's why,bookmark_border,Aug 17,,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wOC8xNy9lbmVyZ3kvbmF0dXJhbC1nYXMtaW5mbGF0aW9uLWhlYXQtd2F2ZS9pbmRleC5odG1s0gFUaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMi8wOC8xNy9lbmVyZ3kvbmF0dXJhbC1nYXMtaW5mbGF0aW9uLWhlYXQtd2F2ZS9pbmRleC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,,
16,U.S. Natural Gas Power Generation Hits Record High Despite Soaring Prices,bookmark_border,Sep 1,,https://news.google.com/./articles/CBMid2h0dHBzOi8vb2lscHJpY2UuY29tL0VuZXJneS9FbmVyZ3ktR2VuZXJhbC9VUy1OYXR1cmFsLUdhcy1Qb3dlci1HZW5lcmF0aW9uLUhpdHMtUmVjb3JkLUhpZ2gtRGVzcGl0ZS1Tb2FyaW5nLVByaWNlcy5odG1s0gF7aHR0cHM6Ly9vaWxwcmljZS5jb20vRW5lcmd5L0VuZXJneS1HZW5lcmFsL1VTLU5hdHVyYWwtR2FzLVBvd2VyLUdlbmVyYXRpb24tSGl0cy1SZWNvcmQtSGlnaC1EZXNwaXRlLVNvYXJpbmctUHJpY2VzLmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,,
